REGISTRATION_DATE,START_DATE,END_DATE,VERSION_EN,AREA_EN,CONTRACT_AMOUNT,ANNUAL_AMOUNT,IS_FREE_HOLD_EN,ACTUAL_AREA,PROP_TYPE_EN,PROP_SUB_TYPE_EN,ROOMS,USAGE_EN,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,PARKING,TOTAL_PROPERTIES,MASTER_PROJECT_EN,PROJECT_EN
"2026-06-30 11:22:11","2026-06-29 00:00:00","2027-06-28 00:00:00","Renewed","AL QUSAIS","58000","58000","Non Free Hold","127","Unit","Flat","","Residential","Airport Free Zone","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:22:11","2026-07-01 00:00:00","2027-06-30 00:00:00","New","Al Suq Al Kabeer","68000","68000","Non Free Hold","83.52","Unit","Office","","Commercial","Al Fahidi Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"2026-06-30 11:22:15","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","Al Barsha South Fourth","40245.45","40245.45","Free Hold","39","Unit","Flat","","Residential","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","","1","","CRYSTAL RESIDENCE"
"2026-06-30 11:22:35","2026-06-24 00:00:00","2027-06-23 00:00:00","New","Hadaeq Sheikh Mohammed Bin Rashid","165000","165000","Free Hold","96","Unit","Flat","","Residential","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","","1","","Park Field"
"2026-06-30 11:22:35","2026-07-25 00:00:00","2027-08-09 00:00:00","Renewed","Wadi Al Safa 2","55000","55000","Free Hold","65.24","Unit","Flat","","Residential","","","IMG World Adventures","","1","",""
"2026-06-30 11:22:42","2026-05-15 00:00:00","2027-05-14 00:00:00","Renewed","Al Warsan First","37000","37000","Free Hold","68","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"2026-06-30 11:22:46","2026-06-26 00:00:00","2027-06-25 00:00:00","Renewed","Al Suq Al Kabeer","46000","46000","Non Free Hold","59.27","Unit","Flat","","Residential","Al Fahidi Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 11:23:30","2026-07-10 00:00:00","2027-07-09 00:00:00","Renewed","AL QUSAIS","46000","46000","Non Free Hold","74.32","Unit","Flat","","Residential","Al Nahda Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:23:37","2026-07-01 00:00:00","2027-06-30 00:00:00","New","Marsa Dubai","110000","110000","Free Hold","143","Unit","Flat","","Residential","Jumeirah Beach Residency","Marina Mall","Sports City Swimming Academy","","1","",""
"2026-06-30 11:23:48","2025-03-12 00:00:00","2026-03-11 00:00:00","Renewed","Al Nahda First","52000","52000","Non Free Hold","65","Unit","Flat","","Residential","STADIUM Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:23:51","2026-07-01 00:00:00","2027-06-30 00:00:00","New","Mirdif","140000","140000","Non Free Hold","2500","Villa","Villa","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:23:53","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","Al Hebiah Third","185000","185000","Free Hold","229","Villa","Villa","4","Residential","","","Motor City","","1","",""
"2026-06-30 11:24:08","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Al Khabeesi","32000","32000","Non Free Hold","21","Unit","Office","","Commercial","Abu Baker Al Siddique Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:24:12","2026-07-01 00:00:00","2027-06-30 00:00:00","New","Wadi Al Safa 2","102000","102000","Free Hold","142","Villa","Villa","4","Residential","","","IMG World Adventures","","1","",""
"2026-06-30 11:24:15","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Al Khabeesi","15000","15000","Non Free Hold","21","Unit","Office","","Commercial","Abu Baker Al Siddique Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:24:17","2026-05-05 00:00:00","2027-08-02 00:00:00","New","Mankhool","190278","190278","Non Free Hold","25.93","Unit","Shop","","Commercial","Burjuman Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 11:24:20","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","Al Raffa","61000","61000","Non Free Hold","116","Unit","Flat","","Residential","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"2026-06-30 11:24:37","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Muhaisanah Fourth","15000","15000","Non Free Hold","20","Unit","Office","","Commercial","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:25:14","2026-06-10 00:00:00","2027-06-09 00:00:00","Renewed","AL QUSAIS","112000","112000","Non Free Hold","597","Unit","Office","","Commercial","Al Nahda Metro Station","City Centre Mirdif","Dubai International Airport","","2","",""
"2026-06-30 11:25:14","2026-06-10 00:00:00","2027-06-09 00:00:00","Renewed","AL QUSAIS","112000","112000","Non Free Hold","516","Unit","Office","","Commercial","Al Nahda Metro Station","City Centre Mirdif","Dubai International Airport","","2","",""
"2026-06-30 11:25:15","2026-06-25 00:00:00","2027-06-24 00:00:00","Renewed","AL QUSAIS","66000","66000","Non Free Hold","90.58","Unit","Flat","","Residential","Al Nahda Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:25:20","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Jabal Ali First","15000","15000","Free Hold","10","Virtual Unit","Office","","Commercial","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","","1","",""
"2026-06-30 11:25:28","2026-04-15 00:00:00","2027-04-14 00:00:00","Renewed","Warsan Fourth","35000","35000","Free Hold","76","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"2026-06-30 11:25:49","2026-07-01 00:00:00","2026-12-31 00:00:00","New","Al Safouh Second","31214","62428","Free Hold","47.94","Unit","Office","","Commercial","Marina Towers","Marina Mall","Burj Al Arab","","1","",""
"2026-06-30 11:25:58","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","Al Suq Al Kabeer","32000","32000","Non Free Hold","38.83","Unit","Flat","","Residential","Al Fahidi Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"2026-06-30 11:26:13","2026-07-25 00:00:00","2027-07-24 00:00:00","Renewed","Al Warqa First","63033","63033","Non Free Hold","121.97","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:26:24","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Dubai Investment Park Second","20000","20000","Free Hold","20","Virtual Unit","Office","","Commercial","","","Expo 2020 Site","","1","",""
"2026-06-30 11:26:28","2026-05-15 00:00:00","2027-05-14 00:00:00","Renewed","Saih Shuaib 2","137545.56","137545.56","Non Free Hold","480.03","Unit","Warehouse","","Industrial","","","Al Makhtoum International Airport","","1","",""
"2026-06-30 11:26:30","2026-02-18 00:00:00","2027-02-17 00:00:00","Renewed","Al Barsha First","132000","132000","Non Free Hold","110.76","Unit","Office","","Commercial","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"2026-06-30 11:26:54","2026-04-29 00:00:00","2027-04-28 00:00:00","New","Jabal Ali Industrial First","22338.75","22338.75","Non Free Hold","16.33","Unit","Labor Camps","","Residential","DANUBE Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","","1","",""
"2026-06-30 11:26:57","2026-07-06 00:00:00","2027-07-05 00:00:00","New","Al Wasl","210000","210000","Non Free Hold","171","Unit","Flat","","Residential","Business Bay Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"2026-06-30 11:27:03","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Saih Shuaib 2","20000","20000","Free Hold","28","Unit","Office","","Commercial","","","Al Makhtoum International Airport","","1","",""
"2026-06-30 11:27:05","2026-05-01 00:00:00","2027-04-30 00:00:00","Renewed","Al Murqabat","71663","71663","Non Free Hold","148.18","Unit","Flat","","Residential","Al Rigga Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 11:27:08","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","Al Thanyah Fifth","87484","87484","Free Hold","111.94","Unit","Flat","","Residential","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","","1","",""
"2026-06-30 11:27:09","2026-06-15 00:00:00","2027-06-14 00:00:00","Renewed","AL QUSAIS","73500","73500","Non Free Hold","90.58","Unit","Flat","","Residential","Al Nahda Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:27:21","2026-04-15 00:00:00","2027-04-14 00:00:00","Renewed","Hor Al Anz","63000","63000","Non Free Hold","23.41","Unit","Shop","","Commercial","Abu Baker Al Siddique Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:27:45","2026-06-25 00:00:00","2027-06-24 00:00:00","Renewed","Al Warqa First","42000","42000","Non Free Hold","74.4","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:27:48","2026-03-23 00:00:00","2026-10-09 00:00:00","New","Wadi Al Safa 7","186055","339998.98","Free Hold","405","Villa","Villa","5","Residential","","","Motor City","","1","","ARABIAN RANCHES - PALMA COMMUNITY"
"2026-06-30 11:27:50","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","Business Bay","100000","100000","Free Hold","118.54","Unit","Flat","","Residential","Business Bay Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"2026-06-30 11:27:59","2026-02-15 00:00:00","2027-02-14 00:00:00","Renewed","Mankhool","160000","160000","Non Free Hold","139.35","Unit","Flat","","Residential","Al Fahidi Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"2026-06-30 11:28:04","2026-06-10 00:00:00","2027-06-09 00:00:00","Renewed","Al Suq Al Kabeer","44000","44000","Non Free Hold","15.33","Unit","Shop","","Commercial","Al Fahidi Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 11:28:09","2026-06-28 00:00:00","2027-06-27 00:00:00","Renewed","Port Saeed","104738","104738","Non Free Hold","186","Unit","Flat","","Residential","GGICO Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:28:12","2026-08-01 00:00:00","2027-07-31 00:00:00","Renewed","Al Wasl","123900","123900","Non Free Hold","111","Unit","Office","","Commercial","Business Bay Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"2026-06-30 11:28:17","2026-03-12 00:00:00","2027-03-11 00:00:00","Renewed","Al Nahda First","54000","54000","Non Free Hold","65","Unit","Flat","","Residential","STADIUM Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:28:20","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Business Bay","15000","15000","Free Hold","10","Virtual Unit","Office","","Commercial","Business Bay Metro Station","Dubai Mall","Downtown Dubai","","1","","ONTARIO TOWER"
"2026-06-30 11:28:24","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Business Bay","15000","15000","Free Hold","50","Virtual Unit","Office","","Commercial","Business Bay Metro Station","Dubai Mall","Downtown Dubai","","1","","IRIS BAY"
"2026-06-30 11:28:29","2025-05-15 00:00:00","2026-05-14 00:00:00","Renewed","AL QUSAIS","62000","62000","Non Free Hold","120","Unit","Flat","","Residential","Airport Free Zone","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:28:38","2026-07-02 00:00:00","2027-07-01 00:00:00","Renewed","Al Hebiah First","100000","100000","Free Hold","196.86","Unit","Flat","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","","1","",""
"2026-06-30 11:28:47","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Abu Hail","15000","15000","Non Free Hold","19","Unit","Office","","Commercial","Abu Baker Al Siddique Metro Station","","Dubai International Airport","","1","",""
"2026-06-30 11:28:54","2026-05-20 00:00:00","2027-05-19 00:00:00","Renewed","Al Muteena","51818","51818","Non Free Hold","88.08","Unit","Flat","","Residential","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 11:29:04","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","AL QUSAIS","38500","38500","Non Free Hold","95.69","Unit","Flat","","Residential","Airport Free Zone","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:29:04","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Al Khabeesi","15000","15000","Non Free Hold","21","Unit","Office","","Commercial","Abu Baker Al Siddique Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 11:29:25","2026-05-20 00:00:00","2027-05-19 00:00:00","Renewed","Warsan Fourth","37000","37000","Free Hold","60","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"2026-06-30 11:29:33","2026-08-02 00:00:00","2027-08-01 00:00:00","Renewed","Al Khairan First","240000","240000","Free Hold","200","Unit","Flat","","Residential","Creek Metro Station","Dubai Mall","Dubai International Airport","","1","","THE DUBAI CREEK RESIDENCES"
"2026-06-30 11:29:51","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Al Khabeesi","15000","15000","Non Free Hold","21","Unit","Office","","Commercial","Abu Baker Al Siddique Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:29:58","2026-01-01 00:00:00","2027-01-31 00:00:00","Renewed","Palm Jumeirah","157450","157450","Free Hold","81.69","Unit","Shop","","Commercial","Palm Jumeirah","Marina Mall","Burj Al Arab","","1","",""
"2026-06-30 11:30:19","2026-08-01 00:00:00","2027-07-31 00:00:00","Renewed","Al Aweer First","100000","100000","Non Free Hold","254","Villa","Villa","","Residential","","","","0","1","",""
"2026-06-30 11:30:24","2026-06-27 00:00:00","2027-06-26 00:00:00","Renewed","Al Barsha South Fifth","68250","68250","Free Hold","103","Unit","Flat","","Residential","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","","1","","IMPERIAL RESIDENCE"
"2026-06-30 11:30:36","2026-07-15 00:00:00","2027-07-14 00:00:00","Renewed","AL QUSAIS","38000","38000","Non Free Hold","69.68","Unit","Flat","","Residential","Al Nahda Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:30:48","2025-09-28 00:00:00","2026-09-27 00:00:00","New","Al Goze Industrial Second","90666","90666","Non Free Hold","1403.77","Land","","","","Noor Bank Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"2026-06-30 11:30:52","2026-04-20 00:00:00","2029-09-16 00:00:00","New","Madinat Dubai Almelaheyah","1107738","324983.07","Free Hold","219.44","Unit","Shop","","Commercial","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","","1","","Seagate"
"2026-06-30 11:30:56","2026-05-15 00:00:00","2027-05-14 00:00:00","Renewed","AL QUSAIS","62000","62000","Non Free Hold","120","Unit","Flat","","Residential","Airport Free Zone","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:31:05","2026-07-15 00:00:00","2027-07-14 00:00:00","New","Business Bay","50000","50000","Free Hold","39","Unit","Flat","","Residential","Business Bay Metro Station","Dubai Mall","Downtown Dubai","","1","","NEW PORT TOWER"
"2026-06-30 11:31:05","2026-07-15 00:00:00","2027-07-14 00:00:00","New","Business Bay","50000","50000","Free Hold","39","Unit","Flat","","Residential","Business Bay Metro Station","Dubai Mall","Downtown Dubai","","1","","SAFEER TOWER 1"
"2026-06-30 11:31:06","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Abu Hail","15000","15000","Non Free Hold","19","Unit","Office","","Commercial","Abu Baker Al Siddique Metro Station","","Dubai International Airport","","1","",""
"2026-06-30 11:31:12","2026-05-28 00:00:00","2027-05-27 00:00:00","Renewed","Al Muteena","75000","75000","Non Free Hold","155.36","Unit","Flat","","Residential","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 11:31:31","2026-07-01 00:00:00","2027-06-30 00:00:00","New","Al Barsha South Fourth","70000","70000","Free Hold","74","Unit","Flat","","Residential","Dubai Internet City","Marina Mall","Sports City Swimming Academy","","1","","STONEHENGE RESIDENCES 2"
"2026-06-30 11:31:38","2026-08-01 00:00:00","2027-07-31 00:00:00","Renewed","Al Barshaa South Third","118320","118320","Free Hold","64.67","Unit","Shop","","Commercial","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","","1","",""
"2026-06-30 11:32:06","2026-05-19 00:00:00","2027-05-18 00:00:00","New","Al Qusais Industrial Fourth","99000","99000","Non Free Hold","1393.55","Land","","","","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:32:28","2026-07-15 00:00:00","2027-07-14 00:00:00","Renewed","Wadi Al Safa 2","79000","79000","Free Hold","91.29","Unit","Flat","","Residential","","","IMG World Adventures","","1","",""
"2026-06-30 11:32:38","2026-07-01 00:00:00","2027-06-30 00:00:00","New","Al Barsha First","52000","52000","Non Free Hold","1","Unit","Flat","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"2026-06-30 11:32:45","2026-07-02 00:00:00","2027-07-01 00:00:00","New","Business Bay","108000","108000","Free Hold","38.1","Unit","Flat","","Residential","Business Bay Metro Station","Dubai Mall","Downtown Dubai","","1","","BLUE BAY"
"2026-06-30 11:32:45","2026-07-02 00:00:00","2027-07-01 00:00:00","New","Business Bay","108000","108000","Free Hold","38.1","Unit","Flat","","Residential","Business Bay Metro Station","Dubai Mall","Downtown Dubai","","1","","ZADA TOWER"
"2026-06-30 11:32:52","2026-03-01 00:00:00","2027-02-28 00:00:00","Renewed","Al Goze Third","160000","160000","Non Free Hold","228","Unit","Warehouse","","Commercial","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","","1","",""
"2026-06-30 11:32:52","2027-01-01 00:00:00","2028-12-31 00:00:00","Renewed","Al Hamriya","130000","65000","Non Free Hold","1000","Unit","Flat","","Residential","Al Fahidi Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 11:32:53","2026-05-15 00:00:00","2027-05-14 00:00:00","Renewed","Mirdif","140000","140000","Non Free Hold","1","Villa","Villa","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:33:09","2026-06-01 00:00:00","2027-05-31 00:00:00","Renewed","Al Murqabat","110000","110000","Non Free Hold","228.08","Unit","Flat","","Residential","Al Rigga Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 11:33:12","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Abu Hail","15000","15000","Non Free Hold","19","Unit","Office","","Commercial","Abu Baker Al Siddique Metro Station","","Dubai International Airport","","1","",""
"2026-06-30 11:33:20","2026-05-01 00:00:00","2027-04-30 00:00:00","New","Al Rowaiyah Third","251361.77","251361.77","Non Free Hold","62","Unit","Office","","Commercial","","","","","4","",""
"2026-06-30 11:33:20","2026-05-01 00:00:00","2027-04-30 00:00:00","New","Al Rowaiyah Third","251361.77","251361.77","Non Free Hold","999","Unit","Office","","Commercial","","","","","4","",""
"2026-06-30 11:33:20","2026-05-01 00:00:00","2027-04-30 00:00:00","New","Al Rowaiyah Third","251361.77","251361.77","Non Free Hold","198","Unit","Office","","Commercial","","","","","4","",""
"2026-06-30 11:33:20","2026-05-01 00:00:00","2027-04-30 00:00:00","New","Al Rowaiyah Third","251361.77","251361.77","Non Free Hold","62","Unit","Office","","Commercial","","","","","4","",""
"2026-06-30 11:33:24","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Al Khabeesi","15000","15000","Non Free Hold","21","Unit","Office","","Commercial","Abu Baker Al Siddique Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 11:33:51","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Business Bay","15000","15000","Free Hold","10","Virtual Unit","Office","","Commercial","Business Bay Metro Station","Dubai Mall","Downtown Dubai","","1","","ONTARIO TOWER"
"2026-06-30 11:33:55","2026-07-05 00:00:00","2027-07-04 00:00:00","New","Al Raffa","63000","63000","Non Free Hold","1","Unit","Flat","","Residential","Al Fahidi Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"2026-06-30 11:33:56","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Al Ttay","30000","30000","Non Free Hold","32.3","Unit","Office","","Commercial","","","","","1","",""
"2026-06-30 11:34:02","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","Al Barsha South Fifth","205000","205000","Free Hold","679.11","Villa","Villa","2","Residential","Damac Properties","Marina Mall","Sports City Swimming Academy","","1","",""
"2026-06-30 11:34:21","2026-04-20 00:00:00","2027-04-19 00:00:00","Renewed","Al Warqa First","42000","42000","Non Free Hold","106.1","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:34:28","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Al Khabeesi","15000","15000","Non Free Hold","21","Unit","Office","","Commercial","Abu Baker Al Siddique Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:34:39","2026-07-15 00:00:00","2027-07-14 00:00:00","New","Al Goze Industrial Second","66000","66000","Free Hold","112.16","Unit","Flat","","Residential","Noor Bank Metro Station","Mall of the Emirates","Downtown Dubai","","1","",""
"2026-06-30 11:35:03","2026-05-25 00:00:00","2027-05-24 00:00:00","Renewed","Al Hudaiba","99750","99750","Non Free Hold","148.09","Unit","Flat","","Residential","Al Jafiliya Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"2026-06-30 11:35:04","2026-06-21 00:00:00","2027-06-20 00:00:00","Renewed","Saih Shuaib 2","29475","29475","Non Free Hold","22.47","Unit","Labor Camps","","Residential","","","Al Makhtoum International Airport","","1","",""
"2026-06-30 11:35:13","2026-06-15 00:00:00","2027-06-14 00:00:00","Renewed","Jabal Ali First","68000","68000","Free Hold","70.45","Unit","Hotel","","Commercial","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","","CANDACE ASTER HOTEL APARTMENTS"
"2026-06-30 11:35:13","2026-06-15 00:00:00","2027-06-14 00:00:00","Renewed","Jabal Ali First","68000","68000","Free Hold","70.45","Unit","Hotel","","Commercial","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","","AZIZI FEIROUZ II"
"2026-06-30 11:35:16","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","Burj Khalifa","160000","160000","Free Hold","140","Unit","Flat","","Residential","Business Bay Metro Station","Dubai Mall","Downtown Dubai","","1","","BAHWAN TOWER "
"2026-06-30 11:35:18","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Abu Hail","15000","15000","Non Free Hold","19","Unit","Office","","Commercial","Abu Baker Al Siddique Metro Station","","Dubai International Airport","","1","",""
"2026-06-30 11:35:22","2026-07-01 00:00:00","2027-06-30 00:00:00","New","Madinat Hind 4","80000","80000","Free Hold","137","Villa","Villa","3","Residential","","","","","1","","DAMAC HILLS (2) - VARDON "
"2026-06-30 11:35:40","2026-07-20 00:00:00","2028-07-20 00:00:00","New","Zaabeel Second","360000","179758.39","Free Hold","108","Unit","Flat","","Residential","Financial Centre","Dubai Mall","Burj Khalifa","","1","","Downtown Views II"
"2026-06-30 11:35:41","2026-06-10 00:00:00","2027-06-09 00:00:00","Renewed","Al Murqabat","57750","57750","Non Free Hold","128.95","Unit","Flat","","Residential","Al Rigga Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 11:36:22","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","Al Yelayiss 2","62920","62920","Free Hold","86.29","Unit","Flat","","Residential","","","Dubai Cycling Course","","1","","TOWN SQUARE SAFI"
"2026-06-30 11:36:41","2026-07-01 00:00:00","2026-12-31 00:00:00","Renewed","Warsan Fourth","37808","75616","Free Hold","107.49","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"2026-06-30 11:36:42","2026-06-08 00:00:00","2027-06-07 00:00:00","New","Al Goze Third","33600","33600","Non Free Hold","12.3","Unit","Labor Camps","","Residential","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","","1","",""
"2026-06-30 11:36:55","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","Al Barshaa South Third","200100","200100","Non Free Hold","128.23","Unit","Shop","","Commercial","Dubai Internet City","Mall of the Emirates","Motor City","","1","",""
"2026-06-30 11:36:56","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Al Khabeesi","15000","15000","Non Free Hold","20","Unit","Office","","Commercial","Al Rigga Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 11:37:07","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","Al Warqa First","61533","61533","Non Free Hold","123.8","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:37:11","2026-06-01 00:00:00","2027-05-31 00:00:00","Renewed","Warsan Fourth","40000","40000","Free Hold","64","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"2026-06-30 11:37:13","2025-09-10 00:00:00","2026-09-09 00:00:00","Renewed","Marsa Dubai","87000","87000","Free Hold","141.44","Unit","Flat","","Residential","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","","1","",""
"2026-06-30 11:37:17","2026-04-01 00:00:00","2027-03-31 00:00:00","Renewed","Naif","33600","33600","Non Free Hold","11","Unit","Shop","","Commercial","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 11:37:22","2026-07-01 00:00:00","2027-06-30 00:00:00","New","Al Barsha South Fourth","70000","70000","Free Hold","73","Unit","Flat","","Residential","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","","1","","BELGRAVIA HEIGHTS I"
"2026-06-30 11:37:27","2026-07-02 00:00:00","2027-07-01 00:00:00","Renewed","Business Bay","32000","32000","Free Hold","10","Virtual Unit","Office","","Commercial","Business Bay Metro Station","Dubai Mall","Downtown Dubai","","1","","PRIME TOWER"
"2026-06-30 11:37:31","2026-05-25 00:00:00","2027-05-24 00:00:00","Renewed","Port Saeed","33300","33300","Non Free Hold","36","Unit","Office","","Commercial","GGICO Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 11:37:32","2026-07-01 00:00:00","2027-06-30 00:00:00","New","Al Barshaa South Third","48000","48000","Free Hold","43.28","Unit","Flat","","Residential","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","","1","",""
"2026-06-30 11:37:40","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Al Goze Third","15000","15000","Non Free Hold","25","Unit","Office","","Commercial","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","","1","",""
"2026-06-30 11:37:46","2026-05-24 00:00:00","2027-05-23 00:00:00","Renewed","Business Bay","112000","112000","Free Hold","114","Unit","Flat","","Residential","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","1","","BAY SQUARE"
"2026-06-30 11:37:46","2026-07-01 00:00:00","2027-02-26 00:00:00","Renewed","Marsa Dubai","46882","70956.54","Free Hold","80.29","Unit","Flat","","Residential","Mina Seyahi","Marina Mall","Burj Al Arab","","1","","PRINCESS TOWER"
"2026-06-30 11:37:53","2026-07-23 00:00:00","2027-07-22 00:00:00","New","Al Khairan First","170000","170000","Free Hold","149.93","Unit","Flat","","Residential","Creek Metro Station","City Centre Mirdif","Dubai International Airport","","1","","Creek Beach - Rosewater"
