TRANSACTION_NUMBER,INSTANCE_DATE,GROUP_EN,PROCEDURE_EN,IS_OFFPLAN_EN,IS_FREE_HOLD_EN,USAGE_EN,AREA_EN,PROP_TYPE_EN,PROP_SB_TYPE_EN,TRANS_VALUE,PROCEDURE_AREA,ACTUAL_AREA,ROOMS_EN,PARKING,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,TOTAL_BUYER,TOTAL_SELLER,MASTER_PROJECT_EN,PROJECT_EN
"102-57826-2026","2026-06-29 18:55:09","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","10631000","260.03","260.03","3 B/R","2","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","SOLARA TOWER DUBAI"
"102-57827-2026","2026-06-29 19:02:51","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","736416","40.82","40.82","Studio","1","","","IMG World Adventures","0","0","","Laguna Residence"
"102-57828-2026","2026-06-29 19:21:24","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","1235000","63.54","63.54","1 B/R","1","","","","0","0","","AZIZI VENICE 7"
"102-57829-2026","2026-06-29 19:09:05","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","655000","38.18","38.18","Studio","1","","","","0","0","","AZIZI VENICE 5"
"102-57830-2026","2026-06-29 19:17:24","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","650000","38.98","38.98","Studio","1","","","","0","0","","azizi venice 12"
"102-57831-2026","2026-06-29 19:14:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Hotel Apartment","2097810","60.17","60.17","1 B/R","1","","","","0","0","","WASL BY AZIZI "
"102-57832-2026","2026-06-29 19:24:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah First","Unit","Flat","809999","36.25","36.25","Studio","1","","","","0","0","","Binghatti Skyterraces"
"102-57833-2026","2026-06-29 19:39:39","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah First","Unit","Flat","805999","35.48","35.48","Studio","1","","","","0","0","","Binghatti Skyterraces"
"102-57834-2026","2026-06-29 19:51:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","1299000","63.55","63.55","1 B/R","1","","","","0","0","","AZIZI VENICE 7"
"102-57835-2026","2026-06-29 19:47:18","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","613480","31.34","31.34","Studio","1","","","IMG World Adventures","0","0","","AZIZI MILAN 51"
"102-57836-2026","2026-06-29 19:45:21","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","1171000","64.5","64.5","1 B/R","1","","","","0","0","","AZIZI VENICE 7"
"102-57837-2026","2026-06-29 19:50:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah First","Unit","Flat","790999","47.39","47.39","Studio","1","","","","0","0","","Binghatti Skyterraces"
"102-57838-2026","2026-06-29 19:59:38","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","722000","35.35","35.35","Studio","1","","","","0","0","","Azizi Venice 15"
"102-57839-2026","2026-06-29 19:57:44","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","629000","29.52","29.52","Studio","1","","","","0","0","","Azizi Venice 16"
"102-57840-2026","2026-06-29 19:55:33","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","1123650","79.35","79.35","1 B/R","1","","","","0","0","","azizi venice 13 "
"102-57842-2026","2026-06-29 20:01:51","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Shop","3361100","77.78","77.78","NA","2","","","","0","0","","AZIZI VENICE 9 "
"102-57843-2026","2026-06-29 20:03:42","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","680000","32.9","32.9","Studio","1","","","","0","0","","AZIZI VENICE 5"
"102-57844-2026","2026-06-29 20:06:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah First","Unit","Flat","819999","35.65","35.65","Studio","1","","","","0","0","","Binghatti Skyterraces"
"102-57845-2026","2026-06-29 20:24:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","611000","32.74","32.74","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan 20"
"102-57846-2026","2026-06-29 20:26:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","582000","33.35","33.35","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan 55"
"102-57847-2026","2026-06-29 20:33:37","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Hotel Apartment","603340","31.18","31.18","Studio","1","ENERGY Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","0","","Azizi Sikander"
"102-57848-2026","2026-06-29 20:31:44","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI STUDIO CITY","Unit","Flat","563000","32.2","32.2","Studio","1","Dubai Internet City","","Motor City","0","0","","BEACH OASIS 2"
"102-57849-2026","2026-06-29 21:03:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 7","Building","Villa","1100000","88","88","2 B/R","","","","","0","0","","Reportage Village 1 "
"102-57850-2026","2026-06-30 07:20:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Hadaeq Sheikh Mohammed Bin Rashid","Unit","Flat","2724888","105.89","105.89","2 B/R","1","","","","0","0","","Hillsedge"
"102-57851-2026","2026-06-30 07:43:38","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DOWN TOWN JABAL ALI","Unit","Hotel Apartment","579000","31.63","31.63","Studio","1","","","","0","0","","Arian By Azizi "
"102-57852-2026","2026-06-30 07:44:46","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","593000","31.62","31.62","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan Heights "
"102-57853-2026","2026-06-30 07:46:25","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","584100","31.54","31.54","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan Heights "
"102-57854-2026","2026-06-30 07:48:25","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Hotel Apartment","586000","30.37","30.37","Studio","1","ENERGY Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","0","","Azizi Sikander"
"102-57855-2026","2026-06-30 07:50:11","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DOWN TOWN JABAL ALI","Unit","Hotel Apartment","892980","62.64","62.64","1 B/R","1","","","","0","0","","Arian By Azizi "
"102-57856-2026","2026-06-30 07:52:44","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","594000","31.61","31.61","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan Heights "
"102-57857-2026","2026-06-30 07:57:48","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","599000","33.97","33.97","Studio","1","","","","0","0","","AZIZI VENICE 14"
"102-57858-2026","2026-06-30 07:54:25","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","617844.5","35.4","35.4","Studio","1","","","","0","0","","azizi venice 12"
"102-57859-2026","2026-06-30 07:55:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","730000","33.16","33.16","Studio","1","","","","0","0","","Azizi Venice 6"
"102-57860-2026","2026-06-30 08:08:57","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 3","Building","Villa","14546780","596.26","596.26","5 B/R","","","","","0","0","","Knightsbridge Park 2 "
"102-57861-2026","2026-06-30 08:44:41","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Building","Villa","6400000","364","364","5 B/R","","","","","0","0","","Hayat 1 "
"102-57862-2026","2026-06-30 08:46:55","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Flat","1832475.54","117.67","117.67","2 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Hadley Heights 2"
"102-57863-2026","2026-06-30 08:56:26","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Building","Villa","6350000","364","364","5 B/R","","","","","0","0","","Hayat 1 "
"102-57864-2026","2026-06-30 08:57:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 3","Building","Villa","7942044","172.8","172.8","4 B/R","","","","","0","0","","Knightsbridge Park"
"102-57865-2026","2026-06-30 09:12:14","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Building","Villa","4900000","338.24","338.24","4 B/R","","","","","0","0","","Hayat 1 "
"102-57866-2026","2026-06-30 10:10:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SAMA AL JADAF","Unit","Flat","793250","30.66","30.66","Studio","1","Creek Metro Station","Dubai Mall","Dubai International Airport","0","0","","Azizi David"
"102-57867-2026","2026-06-30 09:19:07","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Building","Villa","4900000","336.52","336.52","4 B/R","","","","","0","0","","Hayat 1 "
"102-57868-2026","2026-06-30 10:14:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","623000","32.49","32.49","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan 53"
"102-57869-2026","2026-06-30 09:26:19","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Flat","1560000","117.64","117.64","2 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Hadley Heights 2"
"102-57870-2026","2026-06-30 09:33:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Building","Villa","4650000","301.6","301.6","4 B/R","","","","","0","0","","Hayat 1 "
"102-57871-2026","2026-06-30 10:26:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","559000","32.05","32.05","Studio","1","","","","0","0","","AZIZI VENICE 10"
"102-57872-2026","2026-06-30 10:17:34","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","599000","31.61","31.61","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan Heights "
"102-57873-2026","2026-06-30 09:43:07","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","3418131.46","188.6","188.6","3 B/R","2","","","","0","0","","Avida Residences"
"102-57874-2026","2026-06-30 09:44:07","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Satwa","Unit","Flat","824400","34.8","34.8","Studio","1","Trade Centre Metro Station","Dubai Mall","Burj Khalifa","0","0","","Purvanchal Triana Residences"
"102-57875-2026","2026-06-30 10:29:47","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SAMA AL JADAF","Unit","Flat","1317000","58.04","58.04","1 B/R","1","Creek Metro Station","Dubai Mall","Dubai International Airport","0","0","","Azizi David"
"102-57876-2026","2026-06-30 09:50:06","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1132683","104.81","104.81","1 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Al Habtoor Tower"
"102-57877-2026","2026-06-30 14:42:59","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","2800000","182.33","182.33","3 B/R","","","","","0","0","","The Valley - Nima"
"102-57878-2026","2026-06-30 12:50:58","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yelayiss 2","Unit","Flat","1220000","93.96","93.96","2 B/R","1","","","","0","0","","FIA"
"102-57879-2026","2026-06-30 09:59:59","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","LA MER","Unit","Flat","24147000","296.28","296.28","3 B/R","2","Emirates Towers Metro Station","Dubai Mall","Burj Khalifa","0","0","","Solaya (4,6)"
"102-57881-2026","2026-06-30 10:18:06","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","2040000","84.43","84.43","2 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","The EDGE"
"102-57882-2026","2026-06-30 10:37:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","599000","33.82","33.82","Studio","1","","","","0","0","","AZIZI VENICE 14"
"102-57883-2026","2026-06-30 10:29:27","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yelayiss 2","Unit","Flat","555000","30.94","30.94","Studio","1","","","","0","0","","THE MAYFAIR "
"102-57884-2026","2026-06-30 10:41:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","608000","31.55","31.55","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan Heights "
"102-57885-2026","2026-06-30 10:45:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI STUDIO CITY","Unit","Flat","970000","62.66","62.66","1 B/R","1","Dubai Internet City","","Motor City","0","0","","BEACH OASIS 2"
"102-57886-2026","2026-06-30 10:11:58","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1595433.69","103.9","103.9","2 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Lume Residences"
"102-57887-2026","2026-06-30 11:41:14","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","620000","40.78","40.78","Studio","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Elitz By Danube "
"102-57888-2026","2026-06-30 10:48:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","697000","35.58","35.58","Studio","1","","","","0","0","","Azizi Venice 16"
"102-57889-2026","2026-06-30 10:51:11","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","579000","33.81","33.81","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan 20"
"102-57890-2026","2026-06-30 10:55:13","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","630000","36.6","36.6","Studio","1","","","","0","0","","azizi venice 13 "
"102-57892-2026","2026-06-30 10:25:38","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Dubai Investment Park Second","Unit","Flat","1412000","89.18","89.18","1 B/R","1","","","","0","0","","DAMAC RIVERSIDE VIEWS - CAPRI 1 "
"102-57893-2026","2026-06-30 10:28:49","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","21292250.19","395.56","395.56","4 B/R","2","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","0","0","","The Residences, Al Habtoor Grand"
"102-57894-2026","2026-06-30 10:28:50","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Building","Villa","6450000","448","448","5 B/R","","","","","0","0","","Hayat 1 "
"102-57895-2026","2026-06-30 10:33:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Ras Al Khor Industrial First","Unit","Flat","2349201","94.48","94.48","2 B/R","1","","","","0","0","","SOBHA ONE"
"102-57896-2026","2026-06-30 10:36:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Jabal Ali First","Unit","Shop","12423775","177.57","177.57","NA","4","","","","0","0","","Sobha Central "
"102-57897-2026","2026-06-30 11:00:14","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","999000","67.76","67.76","1 B/R","1","","","","0","0","","AZIZI VENICE 10"
"102-57898-2026","2026-06-30 11:03:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Hotel Apartment","579150","31.08","31.08","Studio","1","ENERGY Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","0","","Azizi Sikander"
"102-57899-2026","2026-06-30 11:07:13","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI STUDIO CITY","Unit","Flat","542000","32.3","32.3","Studio","1","Dubai Internet City","","Motor City","0","0","","BEACH OASIS 2"
"102-57900-2026","2026-06-30 11:10:28","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","578000","31.56","31.56","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan Heights "
"102-57901-2026","2026-06-30 11:18:40","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","610000","31.49","31.49","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan Heights "
"102-57902-2026","2026-06-30 10:39:33","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","705000","34","34","Studio","1  0","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","Enchante By GRID"
"102-57903-2026","2026-06-30 10:40:42","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Bukadra","Unit","Flat","2207710","68.5","68.5","1 B/R","1","","","","0","0","","Skyvue"
"102-57904-2026","2026-06-30 10:41:05","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI STUDIO CITY","Unit","Hotel Rooms","315775","6.71","6.71","Studio","EU  0","Dubai Internet City","","Motor City","0","0","","The First Collection at Dubai Studio City"
"102-57905-2026","2026-06-30 10:45:47","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Building","Villa","3800000","200","200","3 B/R","","","","","0","0","","Hayat 1 "
"102-57906-2026","2026-06-30 10:46:49","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Ras Al Khor Industrial First","Unit","Flat","3252936","125.92","125.92","2 B/R","1","","","","0","0","","SOBHA ONE"
"102-57907-2026","2026-06-30 10:49:21","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Bukadra","Unit","Flat","1878448","67.12","67.12","1 B/R","1","","","","0","0","","350 Riverside Crescent"
"102-57908-2026","2026-06-30 11:32:21","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 7","Building","Villa","1110000","87.99","87.99","2 B/R","","","","","0","0","","Reportage Village 1 "
"102-57909-2026","2026-06-30 11:29:47","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","594058.25","31.62","31.62","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan Heights "
"102-57910-2026","2026-06-30 11:22:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI STUDIO CITY","Unit","Flat","920000","63.18","63.18","1 B/R","1","Dubai Internet City","","Motor City","0","0","","BEACH OASIS 2"
"102-57911-2026","2026-06-30 11:25:34","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","586000","31.55","31.55","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan Heights "
"102-57912-2026","2026-06-30 11:36:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DOWN TOWN JABAL ALI","Unit","Hotel Apartment","612000","34.58","34.58","Studio","1","","","","0","0","","Arian By Azizi "
"102-57913-2026","2026-06-30 11:45:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","594058.25","31.62","31.62","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan Heights "
"102-57914-2026","2026-06-30 11:52:55","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DOWN TOWN JABAL ALI","Unit","Flat","591700","30.39","30.39","Studio","1","UAE Exchange Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","0","","Azizi Lina"
"102-57915-2026","2026-06-30 11:57:09","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","594058.25","31.51","31.51","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan Heights "
"102-57916-2026","2026-06-30 11:05:36","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","1308845.35","68.05","68.05","1 B/R","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","Bond Enclave"
"102-57917-2026","2026-06-30 11:06:51","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Jabal Ali First","Unit","Flat","1987275","56.72","56.72","1 B/R","1","","","","0","0","","Sobha Central "
"102-57918-2026","2026-06-30 11:10:27","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","1241000","62.19","62.19","1 B/R","1","","","IMG World Adventures","0","0","","Vincitore Wellness Estate"
"102-57919-2026","2026-06-30 11:13:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Thanyah Fifth","Unit","Flat","2485828","113.48","113.48","2 B/R","1","","","","0","0","","ELTIERA VIEWS "
"102-57920-2026","2026-06-30 11:13:19","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","FALCON CITY OF WONDERS","Unit","Flat","1299828","72.77","72.77","1 B/R","1","","","IMG World Adventures","0","0","","BELGRAVIA GARDENS"
"102-57921-2026","2026-06-30 11:13:49","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Building","Villa","4750000","290","290","4 B/R","","","","","0","0","","Hayat 1 "
"102-57922-2026","2026-06-30 11:14:27","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DMCC-EZ2","Unit","Flat","2506027","79.19","79.19","2 B/R","1","Harbour Tower","Marina Mall","Sports City Swimming Academy","0","0","","Sobha Central Phase II"
"102-57923-2026","2026-06-30 11:15:24","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","FALCON CITY OF WONDERS","Unit","Flat","1465000","85.1","85.1","1 B/R","1","","","IMG World Adventures","0","0","","Sakura Gardens by HRE "
"102-57924-2026","2026-06-30 11:21:11","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Building","Villa","4150000","279.4","279.4","3 B/R","","","","","0","0","","Hayat 1 "
"102-57925-2026","2026-06-30 11:22:07","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","985304","55.9","55.9","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Lume Residences"
"102-57926-2026","2026-06-30 11:24:50","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","1537955.56","114.09","114.09","2 B/R","1","","","IMG World Adventures","0","0","","Samana Avenue"
"102-57927-2026","2026-06-30 11:27:33","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Building","Villa","3800000","200","200","3 B/R","","","","","0","0","","Hayat 1 "
"102-57928-2026","2026-06-30 11:28:37","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Building","Villa","6300000","364","364","5 B/R","","","","","0","0","","Hayat 1 "
"102-57930-2026","2026-06-30 12:01:18","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","632440","31.39","31.39","Studio","1","","","","0","0","","AZIZI VENICE 7"
"102-57931-2026","2026-06-30 12:07:05","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","599450","32.47","32.47","Studio","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","0","0","","Azizi Ruby "
"102-57932-2026","2026-06-30 12:11:19","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI STUDIO CITY","Unit","Flat","585880","36.41","36.41","Studio","1","Dubai Internet City","","Motor City","0","0","","BEACH OASIS 2"
"102-57933-2026","2026-06-30 12:14:40","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","581000","33.4","33.4","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan 20"
"102-57935-2026","2026-06-30 12:20:29","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","727650","34.82","34.82","Studio","1","","","","0","0","","Azizi Venice 16"
"102-57936-2026","2026-06-30 12:24:21","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Flat","579000","30.72","30.72","Studio","1","","","","0","0","","RAFFI BY AZIZI"
"102-57937-2026","2026-06-30 11:33:26","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","769000.01","39.22","39.22","Studio","1","","","IMG World Adventures","0","0","","Samana Barari Heights"
"102-57938-2026","2026-06-30 11:36:39","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Office","2596000","70.49","70.49","NA","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","burj capital "
"102-57939-2026","2026-06-30 11:46:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Building","Villa","4700000","301.6","301.6","4 B/R","","","","","0","0","","Hayat 1 "
"102-57940-2026","2026-06-30 11:49:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","1154000","68.08","68.08","1 B/R","1","","","","0","0","","Arancia Yards By Beyond"
"102-57941-2026","2026-06-30 11:52:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","1083000","61.97","61.97","1 B/R","1  0","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","Enchante By GRID"
"102-57942-2026","2026-06-30 11:52:31","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS PARK","Unit","Flat","1300000","33.8","33.8","Studio","1","Creek Metro Station","Dubai Mall","Downtown Dubai","0","0","","Project Maybach"
"102-57944-2026","2026-06-30 12:17:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","2420000","98.34","98.34","2 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","THE CRESTMARK"
"102-57945-2026","2026-06-30 11:54:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Thanyah Fifth","Unit","Flat","2245828","76.49","76.49","1 B/R","1   ","","","","0","0","","ELTIERA VIEWS "
"102-57946-2026","2026-06-30 11:54:19","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","3522000","162.06","162.06","3 B/R","2","","","","0","0","","Arancia Yards By Beyond"
"102-57947-2026","2026-06-30 11:57:41","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Thanyah Fifth","Unit","Flat","1742828","74.59","74.59","1 B/R","1","","","","0","0","","ELTIERA VIEWS "
